
Topic 1:gance 7.12 | jack 4.58 | character 3.01 | illinois 1.97 | book 1.87 | novel 1.61 | examines 1.54 | loyalty 1.23 | books 1.2 | politics 0.95 | propels 0.86 | readership 0.85 | enhances 0.85 | gestation 0.83 | workaholic 0.83 | acclaim 0.83 | 12th 0.83 | intrigue 0.82 | attractions 0.82 | symmetrical 0.82 | explores 0.81 | waking 0.81 | cafe 0.8 | deciphering 0.8 | locale 0.79 | developer 0.79 | accumen 0.79 | fun 0.79 | appalling 0.77 | government 0.74 | 
Topic 20:fellowship 8.39 | fbi 4.55 | cap 4.42 | haitien 4.4 | burns 3.96 | missionary 3.96 | pilot 3.49 | hijacked 3.21 | aviation 3.12 | smedley 3.05 | cessna 2.89 | hijacking 2.84 | lauderdale 2.8 | 402 2.42 | miller 2.37 | keyser 2.25 | engine 2.04 | 40mm 1.65 | guillaume 1.63 | fadael 1.63 | berlioze 1.62 | suriname 1.62 | duer 1.6 | milord 1.59 | barrington 1.56 | revolver 1.56 | redlands 1.5 | caliber 1.49 | piracy 1.48 | donna 1.46 | 
Topic 21:arab 51.19 | egypt 36.97 | israel 25.77 | syrian 22.11 | jordan 20.81 | syria 20.59 | iraq 18.84 | lebanon 17.59 | hussein 16.02 | mubarak 14.22 | palestinian 9.48 | saibou 8.9 | plo 6.78 | arafat 6.61 | berri 6.04 | nasser 6.03 | khoury 5.97 | chamoun 5.9 | gemayel 5.82 | palestine 5.65 | league 5.59 | 1943 5.38 | assad 5.35 | palestinians 5.25 | israeli 5.24 | beirut 4.85 | judea 4.45 | abdullah 4.36 | damascus 4.33 | samaria 4.18 | 
Topic 22:launch 17.25 | space 11.19 | titan 10.97 | nasa 7.6 | rocket 6.21 | orbit 5.78 | satellite 5.74 | payloads 4.78 | atlas 4.77 | centaur 4.04 | satellites 3.91 | shuttle 3.63 | unmanned 3.49 | rockets 3.25 | 34d 2.97 | moon 2.76 | launches 2.68 | cape 2.56 | payload 2.52 | boosters 2.47 | pioneer 2.47 | expendable 2.46 | marietta 2.36 | probes 2.33 | voyager 2.29 | vandenberg 2.08 | delta 1.91 | spacecraft 1.74 | dynamics 1.73 | canaveral 1.7 | 
Topic 23:films 7.31 | hollywood 4.89 | film 3.54 | filmmakers 3.01 | artistic 2.2 | doerrie 1.68 | wenders 1.67 | productions 1.61 | kock 1.6 | directors 1.11 | metropolis 0.93 | tickets 0.93 | woody 0.93 | schwarzenberger 0.93 | thread 0.92 | bernhard 0.92 | outgrowth 0.92 | attractiveness 0.92 | volker 0.91 | guback 0.91 | wim 0.91 | nosferatu 0.91 | genre 0.91 | brooks 0.9 | rung 0.9 | smashes 0.9 | petersen 0.9 | dramas 0.9 | welt 0.89 | comedies 0.89 | 
Topic 24:refugees 0.7 | president 0.62 | people 0.49 | government 0.47 | mexico 0.46 | countries 0.42 | years 0.41 | american 0.4 | rights 0.4 | 000 0.39 | military 0.38 | israel 0.36 | panama 0.36 | guatemalan 0.35 | coup 0.35 | nations 0.33 | two 0.32 | living 0.32 | east 0.32 | war 0.32 | return 0.32 | honduras 0.31 | african 0.31 | noriega 0.31 | montanaro 0.3 | left 0.3 | killed 0.3 | conference 0.3 | central 0.3 | united 0.29 | 
Topic 25:models 18.89 | 1990 18.25 | engine 13.48 | standard 8.36 | changes 6.76 | valve 6.71 | sedan 6.54 | essentially 6.04 | automaker 5.92 | liter 5.82 | coupe 5.58 | nyers 5.57 | cars 5.22 | luxury 5.15 | model 5.01 | car 4.77 | horsepower 4.66 | quattro 4.66 | line 4.61 | introduced 4.59 | wheel 4.49 | lock 4.36 | trim 4.28 | austria 4.06 | door 3.83 | brakes 3.82 | volkswagen 3.7 | nissan 3.5 | wagon 3.28 | drive 3.27 | 
Topic 26:pavlovsky 3.37 | closings 2.28 | military 1.66 | somchai 1.61 | chun 1.59 | synod 1.41 | government 1.15 | gazette 1.1 | kaewvibunphan 1.09 | hijackers 0.93 | listings 0.84 | recollections 0.83 | brezhnev 0.82 | scuttle 0.82 | president 0.81 | superfluous 0.81 | states 0.81 | griping 0.8 | chanute 0.8 | attemmpts 0.79 | greeks 0.79 | reverberations 0.78 | politicking 0.78 | convolutions 0.77 | misfortunes 0.77 | grissom 0.76 | minister 0.76 | distasteful 0.76 | maligned 0.76 | oshkosh 0.75 | 
Topic 27:noriega 0.57 | government 0.43 | new 0.36 | talks 0.34 | united 0.32 | coup 0.32 | panama 0.31 | power 0.3 | forces 0.27 | rebel 0.26 | war 0.26 | based 0.25 | foreign 0.25 | rebels 0.24 | negotiations 0.24 | soviet 0.24 | appointment 0.24 | country 0.23 | 1988 0.23 | called 0.23 | opposition 0.23 | states 0.23 | people 0.23 | el 0.22 | assembly 0.22 | investors 0.22 | friday 0.22 | pakistan 0.22 | aggression 0.22 | conventional 0.22 | 
Topic 28:stunt 7.63 | eta 6.58 | soucek 5.7 | debernardi 5.68 | basque 5.16 | niagara 4.72 | barrel 4.61 | falls 4.2 | derbyshire 3.88 | petkovich 3.85 | plunge 2.91 | parks 2.56 | karel 1.98 | schafer 1.97 | barrels 1.89 | mail 1.85 | corcuera 1.56 | elgorriaga 1.54 | simulated 1.47 | performing 1.26 | noriega 1.24 | united 1.12 | government 1.08 | annie 1.07 | wilfred 1.07 | stuntmen 1.07 | cascading 1.07 | astrodome 1.06 | 1901 1.06 | stuntman 1.06 | 
Topic 29:exxon 12.03 | sharifa 9.64 | spill 7.98 | israel 6.82 | nader 5.75 | oil 5.48 | bagaza 5.41 | veil 5.38 | burundi 4.48 | alaska 3.98 | israeli 3.94 | zargana 3.74 | chakma 3.65 | zamir 3.5 | sadiqqa 3.42 | wardak 3.36 | mullahs 3.35 | khagrachari 3.16 | government 3.0 | mossad 2.91 | chazan 2.85 | bengali 2.53 | bahini 2.52 | tripuras 2.52 | shanti 2.48 | councils 2.46 | wrongdoing 2.41 | chittagong 2.39 | chakmas 2.38 | bengalis 2.34 | 
Topic 30:zachary 1.34 | buena 1.31 | vista 1.27 | taylor 0.93 | marguila 0.91 | troops 0.81 | 1847 0.76 | utah 0.75 | catapulted 0.74 | texans 0.73 | 1846 0.72 | veracruz 0.72 | reputations 0.72 | upperclass 0.72 | tampico 0.71 | 1926 0.71 | mysteriously 0.71 | pajaro 0.69 | 1848 0.69 | saga 0.68 | nevada 0.68 | pershing 0.68 | 1902 0.67 | kennedy 0.67 | cranny 0.66 | 1924 0.66 | guantanamo 0.65 | pancho 0.65 | battleship 0.65 | nook 0.64 | 
