
Topic 1:packer 28.59 | bones 14.63 | starrs 11.98 | hatchet 7.84 | birkby 7.48 | marks 6.13 | remains 5.86 | forensic 5.73 | flesh 4.85 | 1874 4.53 | story 4.35 | alferd 4.15 | shot 4.02 | scraped 3.87 | companions 3.83 | bone 3.19 | arizona 3.1 | victims 2.78 | skeletons 2.64 | self 2.63 | prospectors 2.52 | icon 2.48 | pelvic 2.44 | anthropologists 2.38 | parole 2.36 | indicated 2.3 | gerry 2.25 | shannon 2.22 | bullet 2.2 | hole 2.19 | 
Topic 18:paulos 11.63 | kacprzyk 9.21 | elephant 8.29 | zookeeper 4.26 | zoo 3.94 | probabilities 3.51 | legs 2.63 | coincidences 2.37 | cup 2.37 | bruises 2.22 | hind 2.19 | wikenhauser 2.18 | kicked 2.18 | patience 2.17 | elephants 2.16 | tribby 2.15 | diarrhea 2.14 | ugly 1.92 | dirt 1.8 | treatments 1.63 | animals 1.56 | intelligent 1.5 | percent 1.48 | blames 1.36 | sit 1.33 | 984 1.32 | flaunting 1.3 | innumeracy 1.3 | astrology 1.29 | acceptability 1.29 | 
Topic 19:cetus 11.16 | foam 6.12 | roche 5.43 | cfcs 5.3 | cushions 4.21 | carbide 3.72 | hoffmann 3.27 | flexible 3.13 | fildes 2.37 | geneamp 2.29 | furniture 2.26 | foams 2.24 | states 2.2 | eliminates 2.1 | blowing 1.99 | percent 1.99 | economic 1.61 | televantos 1.58 | geolite 1.55 | kume 1.49 | substitutes 1.46 | _found 1.43 | economy 1.32 | united 1.31 | polymerase 1.3 | interleukin 1.27 | new 1.23 | infectious 1.22 | sequences 1.21 | industry 1.2 | 
Topic 20:gingrich 10.59 | church 6.68 | oath 5.95 | feaheny 5.82 | bus 4.98 | foam 4.59 | campbell 4.39 | polyurethane 4.38 | alexander 4.03 | ahearne 3.87 | mormon 3.86 | promotional 3.68 | lilly 3.64 | book 3.47 | prevented 2.88 | seat 2.84 | cushions 2.77 | complaint 2.62 | indians 2.58 | fire 2.38 | richwalsky 2.25 | commentary 2.16 | pioneers 2.11 | restart 2.09 | mahoney 2.06 | signature 1.95 | mormons 1.89 | censors 1.52 | drake 1.51 | sober 1.48 | 
Topic 21:nrc 32.27 | supplements 20.83 | vitamin 18.02 | diet 17.72 | rdas 12.84 | vitamins 12.17 | nutrients 11.36 | milligrams 10.39 | dietary 10.13 | blood 9.16 | vegetables 8.99 | calcium 8.83 | food 8.35 | nutritional 8.35 | ellison 8.04 | nutrition 7.82 | fruits 7.76 | recommended 7.76 | allowances 7.75 | ragan 7.63 | constipation 7.02 | recommendations 5.66 | intake 4.93 | helps 4.87 | goodman 4.84 | women 4.82 | nutrient 4.78 | rda 4.74 | americans 4.67 | spectrum 4.65 | 
Topic 22:technology 1484.19 | new 1187.92 | million 1015.9 | percent 875.33 | company 775.48 | years 734.79 | states 690.19 | 000 687.61 | president 669.93 | government 665.91 | united 638.83 | people 621.07 | billion 616.98 | two 613.09 | high 603.72 | industry 601.42 | bush 594.27 | japan 593.49 | computer 585.52 | companies 575.85 | time 572.26 | department 540.13 | research 524.04 | american 519.88 | report 506.33 | says 496.27 | national 472.09 | officials 472.02 | state 456.41 | federal 451.18 | 
Topic 23:wound 3.64 | merck 2.93 | dressings 2.23 | britcair 2.22 | seaweed 1.6 | dressing 1.53 | wounds 1.44 | kelp 0.87 | gauze 0.86 | augment 0.86 | dermal 0.86 | aldershot 0.85 | gelatinous 0.84 | grafts 0.84 | interact 0.84 | heal 0.82 | fluids 0.81 | ulcers 0.76 | gel 0.61 | cable 0.54 | president 0.51 | hdtv 0.47 | release 0.41 | disclose 0.4 | superior 0.39 | system 0.39 | office 0.39 | oath 0.38 | tv 0.38 | signal 0.37 | 
Topic 24:kopell 6.6 | smart 6.02 | siegfried 5.89 | kaos 3.74 | boat 2.86 | spoof 2.32 | agent 1.93 | cast 1.91 | girl 1.65 | shtarker 1.61 | chimps 1.6 | rotten 1.59 | marlo 1.57 | love 1.54 | series 1.53 | maxwell 1.52 | belonged 1.5 | nemesis 1.46 | kid 1.45 | anger 1.45 | makeup 1.32 | leonard 1.16 | movie 1.14 | mel 1.09 | character 1.09 | 99 1.08 | stood 0.99 | 86 0.95 | secret 0.92 | kidnaps 0.9 | 
Topic 25:college 100.58 | university 36.09 | atlanta 29.14 | institute 27.62 | con 23.43 | school 18.86 | ed 18.42 | baltimore 18.29 | state 16.81 | asbestos 15.48 | saltrick 15.05 | kgb 13.19 | vienna 13.09 | business 11.86 | community 11.43 | tillis 11.34 | blasczak 10.83 | la 10.16 | packaging 9.77 | shoes 9.68 | italian 9.59 | whales 9.52 | maine 9.38 | maryland 9.29 | georgia 9.27 | 30 8.53 | portland 8.21 | oakeshott 8.03 | technology 8.01 | basketball 7.89 | 
Topic 26:heart 3.57 | miami 2.46 | bills 2.46 | deaths 2.31 | schultz 2.31 | cdc 2.01 | counterfeit 2.0 | disease 1.87 | postal 1.72 | hackenberry 1.57 | counterfeiters 1.51 | hospitalizations 1.46 | hendry 0.9 | rate 0.9 | counterfeiter 0.88 | collier 0.88 | denominations 0.87 | cramer 0.86 | broward 0.84 | monroe 0.83 | 278 0.81 | healthiest 0.79 | populous 0.78 | 784 0.78 | 473 0.78 | 466 0.78 | 066 0.77 | 718 0.77 | hahn 0.76 | detectors 0.76 | 
Topic 27:asbestos 2.13 | schools 0.81 | college 0.66 | epa 0.66 | school 0.62 | plans 0.49 | atlanta 0.48 | trade 0.47 | bush 0.46 | public 0.44 | government 0.42 | management 0.42 | state 0.38 | years 0.36 | position 0.35 | whittle 0.35 | communications 0.35 | life 0.35 | time 0.34 | new 0.34 | president 0.34 | abortion 0.33 | spectrum 0.33 | cancer 0.32 | world 0.32 | million 0.32 | officials 0.32 | required 0.32 | private 0.32 | agency 0.32 | 
Topic 28:europalia 8.36 | bone 6.32 | fedstat 3.55 | rom 2.24 | trabecular 2.22 | microct 2.18 | goldstein 1.95 | osteoporosis 1.57 | scanner 1.56 | japan 1.55 | disc 1.55 | festival 1.5 | debever 1.48 | interlock 1.45 | glimpse 1.43 | dimensional 1.39 | japanese 1.23 | porous 1.13 | belgium 0.98 | eec 0.97 | libraries 0.92 | extravaganza 0.85 | tomography 0.83 | data 0.83 | joints 0.83 | gretl 0.83 | cocktail 0.82 | 484 0.82 | imperialism 0.82 | discreet 0.82 | 
Topic 29:heart 6.63 | shoveling 5.04 | romania 4.93 | ischemia 3.63 | ceausescu 3.28 | hearts 2.73 | disease 2.21 | selwyn 2.2 | shovel 1.9 | dougherty 1.89 | genes 1.88 | mitochondria 1.81 | deprivation 1.58 | agerpres 1.54 | painless 1.38 | error 1.38 | treadmill 1.34 | bed 1.33 | prague 1.3 | physically 1.26 | mitochondrial 1.26 | researchers 1.25 | coronary 1.24 | risky 1.22 | communism 1.09 | pinpoint 1.05 | technology 1.03 | new 0.98 | report 0.93 | snow 0.91 | 
Topic 30:sony 9.7 | brooms 9.47 | broom 7.39 | ncr 6.33 | motion 5.29 | latchoo 5.25 | prager 3.89 | monahan 3.03 | akzo 2.99 | eec 2.93 | gilbert 2.83 | tariff 2.72 | gatt 2.46 | connolly 2.41 | statuette 2.35 | editing 2.22 | panel 2.18 | farkas 2.14 | vander 2.14 | dussen 2.12 | 337 2.07 | sheehan 2.0 | unisys 1.98 | stunt 1.88 | whisk 1.86 | bristle 1.75 | tariffs 1.74 | arcola 1.7 | libman 1.6 | kundts 1.6 | 
