
Topic 1:consort 15.81 | weightlessness 6.42 | conestoga 5.71 | payload 5.46 | liquids 5.39 | alloys 5.03 | space 4.57 | transportation 4.37 | licensed 3.84 | rocket 3.62 | daniels 3.5 | suborbital 3.41 | services 3.36 | private 3.21 | dummy 3.1 | cures 2.95 | reacts 2.95 | finely 2.93 | epoxy 2.93 | coat 2.93 | powdered 2.86 | surfaces 2.83 | pennino 2.81 | foam 2.81 | launch 2.69 | vance 2.52 | experiments 2.5 | huntsville 2.44 | mix 2.35 | terrier 2.24 | 
Topic 20:convoys 1.35 | panama 1.03 | space 0.84 | ord 0.78 | frt 0.78 | posture 0.77 | polk 0.74 | strongman 0.65 | states 0.63 | united 0.62 | japan 0.59 | quayle 0.55 | fishing 0.55 | 5th 0.53 | infantry 0.52 | noriega 0.51 | patrols 0.51 | agreement 0.49 | satisfy 0.46 | driftnet 0.45 | renegotiate 0.42 | trade 0.39 | state 0.37 | china 0.37 | foreign 0.36 | soviet 0.36 | gorman 0.36 | cooperation 0.35 | education 0.35 | exploration 0.34 | 
Topic 21:agreement 1220.4 | new 1173.92 | space 1165.88 | satellite 991.88 | launch 981.7 | million 954.6 | two 937.27 | company 874.8 | contract 868.76 | union 863.21 | shuttle 859.38 | 000 731.71 | percent 723.76 | government 720.41 | officials 689.3 | president 663.01 | workers 661.72 | department 598.18 | years 585.3 | three 583.27 | soviet 552.33 | united 525.2 | mission 511.77 | billion 489.53 | states 480.18 | air 479.42 | nasa 477.39 | flight 473.59 | made 458.05 | time 457.07 | 
Topic 22:holly 30.51 | farms 25.61 | tyson 21.22 | conagra 20.46 | stock 19.5 | journal 12.82 | m1 12.33 | merger 11.12 | m2 10.89 | billion 10.73 | seasonally 10.6 | adjusted 10.47 | index 10.22 | dow 10.1 | reserve 9.24 | m3 8.83 | rose 8.61 | shares 8.13 | _the 7.86 | percent 7.78 | previous 7.48 | averaged 7.35 | stocks 7.35 | federal 7.33 | jones 7.26 | festival 7.13 | ended 6.82 | circulation 6.8 | money 6.7 | supply 6.15 | 
Topic 23:china 51.95 | chinese 28.38 | barrels 24.8 | saudi 20.48 | li 17.4 | beijing 15.7 | shanghai 15.01 | opec 12.7 | soybean 11.93 | oil 10.5 | aramco 10.34 | ferruzzi 9.59 | kuwait 9.01 | arabia 7.85 | hotels 7.74 | jiang 7.02 | liu 6.99 | trade 6.26 | sanctions 6.23 | piracy 6.21 | patent 6.2 | crude 5.7 | zhao 5.63 | leahy 5.58 | cftc 5.43 | ceiling 5.31 | jin 5.25 | barrel 5.23 | crackdown 5.2 | copyright 5.16 | 
Topic 24:drum 17.51 | keplinger 15.62 | snare 15.0 | drums 14.19 | shell 7.17 | doctrine 4.7 | fairness 4.65 | metal 4.4 | snares 4.19 | porn 3.92 | dial 3.84 | fees 3.69 | drummer 3.41 | edge 2.85 | deep 2.76 | drummers 2.63 | lugs 2.62 | brass 2.61 | inch 2.58 | shells 2.43 | gilbert 2.3 | sound 2.21 | indecent 2.12 | gregg 2.1 | thick 2.0 | connolly 1.86 | blakey 1.81 | piccolo 1.78 | stainless 1.78 | thinner 1.77 | 
Topic 25:school 0.39 | show 0.37 | new 0.36 | high 0.35 | monday 0.33 | reservation 0.33 | test 0.32 | space 0.3 | news 0.3 | police 0.29 | co 0.28 | launch 0.28 | market 0.27 | schools 0.27 | program 0.27 | mohawk 0.26 | 000 0.26 | abc 0.25 | mission 0.25 | students 0.24 | whittle 0.24 | percent 0.24 | satellites 0.23 | communications 0.23 | state 0.23 | daily 0.23 | index 0.23 | channel 0.22 | montour 0.22 | commercials 0.22 | 
Topic 26:shuttle 0.67 | satellite 0.55 | launch 0.51 | space 0.51 | mission 0.41 | scheduled 0.4 | titan 0.4 | force 0.39 | discovery 0.39 | union 0.37 | tritium 0.36 | announced 0.35 | nuclear 0.35 | air 0.34 | two 0.34 | orbit 0.33 | three 0.33 | million 0.32 | made 0.32 | strike 0.31 | watkins 0.3 | new 0.3 | billion 0.3 | night 0.3 | columbia 0.29 | communications 0.29 | members 0.29 | four 0.28 | soviet 0.28 | contract 0.28 | 
Topic 27:acres 10.23 | rays 4.3 | gamma 3.74 | beretta 3.39 | farmland 2.81 | hurd 2.62 | coachmen 2.5 | fernald 2.48 | boldt 2.42 | genes 2.06 | primack 2.0 | blinding 1.97 | feed 1.93 | callicott 1.91 | million 1.78 | taurus 1.75 | pyden 1.74 | corsica 1.69 | values 1.6 | satellite 1.56 | fbi 1.5 | genetic 1.44 | blinded 1.44 | launch 1.43 | vehicles 1.42 | titan 1.41 | orbit 1.38 | positron 1.37 | electrons 1.35 | positrons 1.35 | 
Topic 28:satellite 0.38 | surrogacy 0.34 | cable 0.33 | television 0.32 | resolution 0.32 | sky 0.27 | aba 0.27 | signals 0.24 | murdoch 0.24 | magma 0.22 | receiving 0.22 | channels 0.22 | child 0.22 | 000 0.21 | legal 0.21 | surrogate 0.21 | baby 0.21 | states 0.2 | percent 0.2 | five 0.2 | dishes 0.2 | maxwell 0.19 | bouncing 0.19 | homes 0.19 | mother 0.19 | britain 0.19 | journal 0.19 | largest 0.19 | subscribers 0.18 | adopted 0.18 | 
Topic 29:magma 10.61 | mccarthy 7.95 | bergen 5.43 | downey 5.21 | silica 3.41 | dome 3.4 | vent 2.72 | birch 2.64 | eagle 2.26 | sandia 2.05 | transmitter 1.96 | gases 1.88 | violent 1.64 | rich 1.55 | roberts 1.5 | escape 1.5 | gas 1.47 | mccarthyism 1.44 | mort 1.44 | ceremony 1.42 | eruptions 1.41 | eagles 1.41 | bubbles 1.41 | appleton 1.41 | obsidian 1.4 | society 1.36 | surface 1.33 | thicker 1.31 | eruption 1.19 | tennessee 1.05 | 
Topic 30:rothmeier 11.7 | davis 3.28 | suitors 1.99 | nwa 1.58 | concessionary 0.79 | unseat 0.79 | constitutionality 0.78 | profitably 0.77 | halvorson 0.76 | contentions 0.75 | muncaster 0.75 | rotenberg 0.74 | friendly 0.73 | mogul 0.69 | willard 0.67 | marvin 0.64 | refinancing 0.62 | liquidate 0.57 | leveraged 0.53 | roadblocks 0.52 | inclined 0.49 | pilots 0.48 | acquires 0.47 | spokesperson 0.46 | hostile 0.44 | airline 0.43 | proxy 0.42 | expedite 0.39 | marriott 0.35 | checchi 0.34 | 
