
Topic 1:silk 11.74 | ncr 5.93 | latchoo 4.65 | spider 4.14 | unisys 4.1 | fbi 2.85 | dragline 2.81 | spiders 2.75 | gilbert 2.52 | gene 2.28 | kaplan 2.12 | farkas 2.05 | lewis 1.99 | webs 1.49 | sutures 1.47 | natick 1.45 | sheen 1.44 | imaging 1.41 | kundts 1.4 | vests 1.37 | bulletproof 1.35 | workers 1.18 | new 1.09 | plant 1.05 | possibility 0.96 | investigation 0.96 | stolen 0.93 | 000 0.89 | department 0.88 | piece 0.88 | 
Topic 18:pittston 5.41 | buckner 3.25 | umw 1.99 | ports 1.21 | coal 0.88 | strike 0.62 | 695 0.6 | trumka 0.57 | odom 0.54 | disobedience 0.53 | invasions 0.51 | kitty 0.48 | choke 0.48 | million 0.41 | insurance 0.4 | steel 0.4 | tests 0.39 | selective 0.39 | president 0.38 | union 0.37 | virginia 0.37 | health 0.37 | group 0.34 | workers 0.33 | cost 0.31 | indicative 0.31 | divisive 0.31 | percent 0.31 | say 0.3 | production 0.3 | 
Topic 19:coolers 10.58 | lead 4.61 | lined 3.24 | fountains 1.93 | soldering 1.54 | halsey 1.22 | epa 0.78 | water 0.75 | testfor 0.71 | schmeltzer 0.7 | sunroc 0.7 | tanks 0.67 | reply 0.66 | levels 0.65 | boeing 0.65 | ebco 0.65 | workers 0.6 | gissing 0.59 | two 0.56 | taylor 0.55 | health 0.5 | school 0.49 | unhealthy 0.46 | inquiries 0.42 | schools 0.39 | acknowleged 0.39 | model 0.38 | airlines 0.37 | three 0.37 | companies 0.37 | 
Topic 20:honeywell 6.3 | eljer 4.78 | atmel 3.4 | nortek 2.54 | eich 2.07 | perlegos 1.4 | custom 1.26 | circuits 1.25 | semiconductor 1.22 | programmable 0.75 | plano 0.74 | forma 0.74 | percent 0.69 | company 0.67 | merchant 0.64 | safety 0.63 | cars 0.55 | new 0.54 | belts 0.54 | formula 0.53 | seat 0.52 | air 0.49 | liabilities 0.48 | spun 0.48 | rear 0.47 | products 0.47 | integrated 0.42 | lap 0.4 | providence 0.39 | manufacturers 0.39 | 
Topic 21:weapons 0.44 | watkins 0.43 | safety 0.33 | nuclear 0.31 | public 0.3 | fbi 0.29 | plants 0.29 | environmental 0.28 | epa 0.26 | ohio 0.26 | new 0.25 | energy 0.24 | problems 0.24 | workers 0.24 | department 0.23 | health 0.23 | production 0.23 | asbestos 0.22 | secretary 0.22 | facilities 0.21 | york 0.21 | stello 0.21 | center 0.21 | union 0.21 | control 0.21 | take 0.21 | river 0.2 | materials 0.2 | don 0.2 | million 0.2 | 
Topic 22:isuzu 0.2 | subaru 0.2 | joint 0.19 | percent 0.19 | japanese 0.18 | schools 0.18 | production 0.18 | team 0.17 | survey 0.17 | education 0.17 | jeep 0.17 | trade 0.17 | think 0.17 | venture 0.17 | brady 0.17 | state 0.17 | theny 0.17 | flexibilty 0.17 | workers 0.17 | opening 0.16 | plant 0.16 | asked 0.16 | boom 0.16 | abject 0.16 | careers 0.16 | aerospace 0.16 | performs 0.16 | atop 0.16 | engulfed 0.16 | pointless 0.16 | 
Topic 23:workers 1017.99 | company 777.86 | plant 703.32 | new 630.94 | union 541.63 | 000 509.62 | boeing 445.54 | employees 407.43 | strike 337.39 | officials 335.54 | colt 334.51 | production 309.72 | two 277.94 | spokesman 257.25 | work 240.2 | chrysler 234.83 | million 234.4 | contract 233.61 | president 219.91 | corp 215.22 | three 204.86 | people 188.03 | tuesday 187.93 | service 187.01 | lockheed 186.95 | telephone 182.91 | united 181.34 | safety 178.0 | york 173.61 | co 173.43 | 
Topic 24:carbide 2.34 | cushions 2.06 | foams 1.9 | geolite 1.31 | televantos 1.27 | foam 1.21 | blowing 1.06 | eliminates 1.04 | gabelman 0.74 | flexible 0.74 | company 0.72 | firmness 0.71 | annoucement 0.7 | gasses 0.7 | quilting 0.69 | union 0.66 | ultracel 0.65 | percent 0.61 | eastern 0.57 | fabrics 0.56 | machinists 0.55 | new 0.55 | speciality 0.5 | rural 0.49 | work 0.49 | employees 0.48 | two 0.48 | danbury 0.45 | safety 0.45 | cfcs 0.45 | 
Topic 25:wound 3.41 | merck 2.86 | sandpaper 2.75 | condom 2.45 | sander 2.3 | knife 2.29 | britcair 2.2 | dressings 2.18 | tweezer 2.06 | qualicum 1.95 | solar 1.91 | condoms 1.72 | toronto 1.69 | powered 1.65 | seaweed 1.5 | dressing 1.49 | alarm 1.47 | yourselfers 1.44 | intermatic 1.4 | inexpensive 1.39 | nj 1.39 | workers 1.37 | wounds 1.31 | pregnancies 1.25 | installed 1.21 | teenage 1.14 | stainless 1.12 | batteries 1.1 | percent 1.06 | nichols 0.93 | 
Topic 26:birth 10.51 | women 6.25 | centers 5.72 | pratt 3.95 | solomon 3.66 | botz 3.27 | complications 2.82 | imhausen 2.72 | babies 2.41 | hospitals 1.74 | hospital 1.59 | percent 1.5 | rooks 1.48 | childbirth 1.48 | rosenfield 1.47 | collins 1.45 | caesarean 1.45 | sections 1.35 | whistleblowers 1.35 | ernst 1.31 | births 1.3 | rsoc 1.24 | unisys 1.2 | chemist 1.07 | study 0.99 | deliver 0.99 | safety 0.97 | ecstasy 0.94 | lahr 0.92 | helpers 0.92 | 
Topic 27:workers 0.56 | safety 0.41 | plant 0.38 | percent 0.37 | states 0.36 | problems 0.33 | united 0.29 | work 0.28 | employees 0.27 | report 0.27 | production 0.26 | seats 0.26 | nissan 0.26 | local 0.26 | silk 0.26 | complaints 0.25 | co 0.23 | years 0.23 | president 0.23 | manufacturing 0.23 | company 0.23 | officials 0.23 | industry 0.22 | economy 0.22 | ditlow 0.22 | materials 0.22 | system 0.22 | opening 0.22 | area 0.21 | child 0.21 | 
Topic 28:tubes 4.13 | chinook 3.32 | ch 3.21 | 47d 2.69 | reitz 2.68 | grounding 2.61 | army 2.41 | rotor 2.39 | helicopter 2.24 | transmissions 1.83 | safety 1.64 | accidents 1.44 | retardant 1.39 | chico 1.37 | chopper 1.36 | honduras 1.34 | soldiers 1.17 | malyshev 1.16 | helicopters 1.03 | twin 0.8 | 000 0.76 | sleeves 0.73 | classifies 0.71 | nylon 0.69 | linkage 0.68 | spread 0.67 | chinooks 0.67 | sleeve 0.67 | control 0.66 | fire 0.66 | 
Topic 29:whittle 17.97 | philips 13.25 | schools 9.84 | channel 9.29 | satellite 4.83 | sets 3.32 | turner 3.12 | videostar 3.08 | dishes 2.54 | contenders 2.27 | vcrs 2.26 | satcom 1.62 | rsi 1.61 | greeneville 1.58 | glass 1.58 | broadcasting 1.57 | magnavox 1.55 | hardware 1.55 | knoxville 1.55 | serviced 1.51 | connections 1.5 | duluth 1.5 | videocassette 1.49 | chopped 1.47 | neg 1.45 | pitch 1.45 | mats 1.44 | reinforcements 1.44 | hooked 1.34 | christopher 1.12 | 
Topic 30:ctm 4.84 | uaw 4.17 | nissan 3.45 | gomez 3.33 | union 3.3 | lira 3.19 | luken 2.96 | workers 2.63 | plant 2.48 | morales 2.08 | japanese 1.98 | plants 1.54 | hardin 1.39 | labor 1.16 | vote 1.15 | auto 1.03 | kezsbom 0.94 | organizing 0.94 | railroads 0.83 | election 0.8 | haystack 0.77 | employees 0.77 | duplicates 0.76 | drug 0.76 | dempsey 0.76 | physicals 0.75 | singles 0.75 | lindsey 0.74 | testing 0.74 | thumping 0.73 | 
